,local_name,name,population
0,Aruba,Aruba,103000
1,Afganistan/Afqanestan,Afghanistan,22720000
2,Angola,Angola,12878000
3,Anguilla,Anguilla,8000
4,Shqiperia,Albania,3401200
5,Andorra,Andorra,78000
6,Nederlandse Antillen,Netherlands Antilles,217000
7,Al-Imarat al- Arabiya al-Muttahida,united Arab Emirates,2441000
8,Argentina,Argentina,37032000
9,Hajastan,Armenia,3520000
10,Amerika Samoa,American Samoa,68000
11,,Antarctica,0
12,Terres australes francaises,French Southern territories,0
13,Antigua and Barbuda,Antigua and Barbuda,68000
14,Australia,Australia,18886000
15,osterreich,Austria,8091800
16,Azarbaycan,Azerbaijan,7734000
17,Burundi/uburundi,Burundi,6695000
18,Belgie/Belgique,Belgium,10239000
19,Benin,Benin,6097000
20,Burkina Faso,Burkina Faso,11937000
21,Bangladesh,Bangladesh,129155000
22,Balgarija,Bulgaria,8190900
23,Al-Bahrayn,Bahrain,617000
24,The Bahamas,Bahamas,307000
25,Bosna i Hercegovina,Bosnia and Herzegovina,3972000
26,Belarus,Belarus,10236000
27,Belize,Belize,241000
28,Bermuda,Bermuda,65000
29,Bolivia,Bolivia,8329000
30,Brasil,Brazil,170115000
31,Barbados,Barbados,270000
32,Brunei Darussalam,Brunei,328000
33,Druk-Yul,Bhutan,2124000
34,Bouvetoya,Bouvet Island,0
35,Botswana,Botswana,1622000
36,Centrafrique/Be-Afrika,Central African Republic,3615000
37,Canada,Canada,31147000
38,Cocos (Keeling) Islands,Cocos (Keeling) Islands,600
39,Schweiz/Suisse/Svizzera/Svizra,Switzerland,7160400
40,Chile,Chile,15211000
41,Zhongquo,China,1277558000
42,Cote dIvoire,Cote dIvoire,14786000
43,Cameroun/Cameroon,Cameroon,15085000
44,Republique Democratique du Congo,"Congo, The Democratic Republic of the",51654000
45,Congo,Congo,2943000
46,The Cook Islands,Cook Islands,20000
47,Colombia,Colombia,42321000
48,Komori/Comores,Comoros,578000
49,Cabo Verde,Cape Verde,428000
50,Costa Rica,Costa Rica,4023000
51,Cuba,Cuba,11201000
52,Christmas Island,Christmas Island,2500
53,Cayman Islands,Cayman Islands,38000
54,Kypros/Kibris,Cyprus,754700
55,esko,Czech Republic,10278100
56,Deutschland,Germany,82164700
57,Djibouti/Jibuti,Djibouti,638000
58,Dominica,Dominica,71000
59,Danmark,Denmark,5330000
60,Republica Dominicana,Dominican Republic,8495000
61,Al-Jazair/Algerie,Algeria,31471000
62,Ecuador,Ecuador,12646000
63,Misr,Egypt,68470000
64,Ertra,Eritrea,3850000
65,As-Sahrawiya,Western Sahara,293000
66,Espana,Spain,39441700
67,Eesti,Estonia,1439200
68,YeItyop iya,Ethiopia,62565000
69,Suomi,Finland,5171300
70,Fiji Islands,Fiji Islands,817000
71,Falkland Islands,Falkland Islands,2000
72,France,France,59225700
73,Foroyar,Faroe Islands,43000
74,Micronesia,"Micronesia, Federated States of",119000
75,Le Gabon,Gabon,1226000
76,united Kingdom,united Kingdom,59623400
77,Sakartvelo,Georgia,4968000
78,Ghana,Ghana,20212000
79,Gibraltar,Gibraltar,25000
80,Guinee,Guinea,7430000
81,Guadeloupe,Guadeloupe,456000
82,The Gambia,Gambia,1305000
83,Guine-Bissau,Guinea-Bissau,1213000
84,Guinea Ecuatorial,Equatorial Guinea,453000
85,Ellada,Greece,10545700
86,Grenada,Grenada,94000
87,Kalaallit Nunaat/Gronland,Greenland,56000
88,Guatemala,Guatemala,11385000
89,Guyane francaise,French Guiana,181000
90,Guam,Guam,168000
91,Guyana,Guyana,861000
92,Xianggang/Hong Kong,Hong Kong,6782000
93,Heard and McDonald Islands,Heard Island and McDonald Islands,0
94,Honduras,Honduras,6485000
95,Hrvatska,Croatia,4473000
96,Haiti/Dayti,Haiti,8222000
97,Magyarorszag,Hungary,10043200
98,Indonesia,Indonesia,212107000
99,Bharat/India,India,1013662000
100,British Indian Ocean Territory,British Indian Ocean Territory,0
101,Ireland/eire,Ireland,3775100
102,Iran,Iran,67702000
103,Al- Iraq,Iraq,23115000
104,Island,Iceland,279000
105,Yisrael/Israil,Israel,6217000
106,Italia,Italy,57680000
107,Jamaica,Jamaica,2583000
108,Al-urdunn,Jordan,5083000
109,Nihon/Nippon,Japan,126714000
