government_form,region
Republic,Central Africa
Republic,Southern Europe
Republic,Middle East
Republic,Eastern Africa
Republic,Western Africa
Republic,Western Africa
Republic,Southern and Central Asia
Republic,Eastern Europe
Republic,Eastern Europe
Republic,South America
Republic,Southern Africa
Republic,Central Africa
Republic,South America
Republic,Western Africa
Republic,Central Africa
Republic,Central Africa
Republic,Central Africa
Republic,South America
Republic,Eastern Africa
Republic,Western Africa
Republic,Central America
Republic,Middle East
Republic,Eastern Europe
Republic,Eastern Africa
Republic,Caribbean
Republic,Caribbean
Republic,Northern Africa
Republic,South America
Republic,Northern Africa
Republic,Eastern Africa
Republic,Baltic Countries
Republic,Eastern Africa
Republic,Nordic Countries
Republic,Melanesia
Republic,Western Europe
Republic,Central Africa
Republic,Middle East
Republic,Western Africa
Republic,Western Africa
Republic,Western Africa
Republic,Western Africa
Republic,Central Africa
Republic,Southern Europe
Republic,Central America
Republic,South America
Republic,Central America
Republic,Southern Europe
Republic,Caribbean
Republic,Eastern Europe
Republic,Southeast Asia
Republic,British Islands
Republic,Middle East
Republic,Nordic Countries
Republic,Middle East
Republic,Southern Europe
Republic,Southern and Central Asia
Republic,Eastern Africa
Republic,Southern and Central Asia
Republic,Micronesia
Republic,Eastern Asia
Republic,Southeast Asia
Republic,Middle East
Republic,Western Africa
Republic,Southern and Central Asia
Republic,Baltic Countries
Republic,Baltic Countries
Republic,Eastern Europe
Republic,Southern and Central Asia
Republic,Micronesia
Republic,Southern Europe
Republic,Western Africa
Republic,Southern Europe
Republic,Southeast Asia
Republic,Eastern Asia
Republic,Eastern Africa
Republic,Western Africa
Republic,Eastern Africa
Republic,Eastern Africa
Republic,Southern Africa
Republic,Western Africa
Republic,Central America
Republic,Micronesia
Republic,Southern and Central Asia
Republic,Central America
Republic,South America
Republic,Southeast Asia
Republic,Micronesia
Republic,Eastern Europe
Republic,Southern Europe
Republic,South America
Republic,Eastern Europe
Republic,Eastern Africa
Republic,Western Africa
Republic,Southeast Asia
Republic,Western Africa
Republic,Central America
Republic,Southern Europe
Republic,Eastern Africa
Republic,Central Africa
Republic,South America
Republic,Eastern Europe
Republic,Southern Europe
Republic,Eastern Africa
Republic,Middle East
Republic,Central Africa
Republic,Western Africa
Republic,Southern and Central Asia
Republic,Southern and Central Asia
Republic,Caribbean
Republic,Northern Africa
Republic,Middle East
Republic,Eastern Asia
Republic,Eastern Africa
Republic,Eastern Africa
Republic,Eastern Europe
Republic,South America
Republic,Southern and Central Asia
Republic,Melanesia
Republic,Middle East
Republic,Southern Africa
Republic,Eastern Africa
Republic,Eastern Africa
Federal Republic,South America
Federal Republic,Western Europe
Federal Republic,Middle East
Federal Republic,Southern Europe
Federal Republic,South America
Federal Republic,Western Europe
Federal Republic,Micronesia
Federal Republic,Southern and Central Asia
Federal Republic,Eastern Africa
Federal Republic,Central America
Federal Republic,Western Africa
Federal Republic,Eastern Europe
Federal Republic,North America
Federal Republic,South America
Federal Republic,Southern Europe
