government_form,code,name,continent,region,surface_area,independence_year,population,life_expectancy,gnp,gnp_old,local_name,head_of_state,capital,code2
Nonmetropolitan Territory of The Netherlands,ABW,Aruba,North America,Caribbean,193.0,,103000,78.4,828.0,793.0,Aruba,Willem-Alexander,129.0,AW
Dependent Territory of the uK,AIA,Anguilla,North America,Caribbean,96.0,,8000,76.1,63.2,,Anguilla,Elisabeth II,62.0,AI
Parliamentary Coprincipality,AND,Andorra,Europe,Southern Europe,468.0,1278.0,78000,83.5,1630.0,,Andorra,,55.0,AD
Nonmetropolitan Territory of The Netherlands,ANT,Netherlands Antilles,North America,Caribbean,800.0,,217000,74.7,1941.0,,Nederlandse Antillen,Willem-Alexander,33.0,AN
uS Territory,ASM,American Samoa,Oceania,Polynesia,199.0,,68000,75.1,334.0,,Amerika Samoa,George W. Bush,54.0,AS
Constitutional Monarchy,ATG,Antigua and Barbuda,North America,Caribbean,442.0,1981.0,68000,70.5,612.0,584.0,Antigua and Barbuda,Elisabeth II,63.0,AG
Monarchy (Emirate),BHR,Bahrain,Asia,Middle East,694.0,1971.0,617000,73.0,6366.0,6097.0,Al-Bahrayn,Hamad ibn Isa al-Khalifa,149.0,BH
Dependent Territory of the uK,BMu,Bermuda,North America,North America,53.0,,65000,76.9,2328.0,2190.0,Bermuda,Elisabeth II,191.0,BM
Constitutional Monarchy,BRB,Barbados,North America,Caribbean,430.0,1966.0,270000,73.0,2223.0,2186.0,Barbados,Elisabeth II,174.0,BB
Dependent Territory of Norway,BVT,Bouvet Island,Antarctica,Antarctica,59.0,,0,,0.0,,Bouvetoya,Harald V,,BV
Territory of Australia,CCK,Cocos (Keeling) Islands,Oceania,Australia and New Zealand,14.0,,600,,0.0,,Cocos (Keeling) Islands,Elisabeth II,2317.0,CC
Nonmetropolitan Territory of New Zealand,COK,Cook Islands,Oceania,Polynesia,236.0,,20000,71.1,100.0,,The Cook Islands,Elisabeth II,583.0,CK
Territory of Australia,CXR,Christmas Island,Oceania,Australia and New Zealand,135.0,,2500,,0.0,,Christmas Island,Elisabeth II,1791.0,CX
Dependent Territory of the uK,CYM,Cayman Islands,North America,Caribbean,264.0,,38000,78.9,1263.0,1186.0,Cayman Islands,Elisabeth II,553.0,KY
Republic,DMA,Dominica,North America,Caribbean,751.0,1978.0,71000,73.4,256.0,243.0,Dominica,Vernon Shaw,586.0,DM
Federal Republic,FSM,"Micronesia, Federated States of",Oceania,Micronesia,702.0,1990.0,119000,68.6,212.0,,Micronesia,Leo A. Falcam,2689.0,FM
Dependent Territory of the uK,GIB,Gibraltar,Europe,Southern Europe,6.0,,25000,79.0,258.0,,Gibraltar,Elisabeth II,915.0,GI
